Months Harvested;Product
000000001110;Apples
000000011111;Cider
111111111111;Cubed, Dried, Spread
000000011000;Apricots
000000001000;Artichokes
000000001110;Asian Pears
000011000000;Asian Vegetables
000000000000;Asparagus
000000111000;Basil
000000011000;Beans
000001111100;Beets
000000011000;Blackberries
000000111000;Blueberries
000000110000;Boysenberries
000001111100;Broccoli
000001111100;Cabbage
000001111110;Carrots
000000111100;Cauliflower
000000011100;Celeriac
000000011100;Celery
000000100000;Cherries
000001100000;Pie
000000011100;Cucumbers
000111111110;Culinary Herbs
000000011100;Eggplant
000000111111;Garlic
000000100000;Gooseberries
000000011100;Grapes
000111111100;Greens
111111111111;Hazelnuts
000000001110;Kiwi
000000111100;Kohlrabi
000001000000;Kotataberries
000000000111;Leeks
000011111100;Lettuce
111111111111;Lingonberries
000000011100;Loganberries
000000011100;Marionberries
000000001000;Melons
111111111111;Mushrooms
000000011100;Nectarines
000000111111;Onions
000001111100;Parsley
000000011100;Peaches
000000011111;Pears
000001000000;Peas
111111111111;Peppers
000000011000;Plums
000001111111;Potatoes
000000000100;Pumpkins
000011000000;Radishes
000001111000;Raspberries
000110000000;Rhubarb
000000011100;Rutabagas
000000111000;Shallots
000000011111;Squash
000001000000;Strawberries
000000011000;Sweet Corn
000000100000;Tayberries
111111111111;Tomatoes
000001110000;Turnips
000000001110;Walnuts
000000011100;Zucchini
